pays,code_pays,annee,produit,code_produit,dispo_int,alim_ani,semences,pertes,transfo,nourriture,autres_utilisations
Estonie,63,2013,Blé,2511,267.0,104.0,29.0,4.0,15.0,115.0,0.0
Estonie,63,2013,Seigle,2515,41.0,7.0,3.0,1.0,0.0,29.0,1.0
Finlande,67,2013,Blé,2511,872.0,345.0,56.0,0.0,0.0,445.0,25.0
Finlande,67,2013,Orge,2513,1495.0,1117.0,120.0,0.0,130.0,33.0,96.0
France,68,2013,Blé,2511,20298.0,7822.0,748.0,358.0,1575.0,6971.0,2824.0
France,68,2013,Orge,2513,3288.0,2865.0,230.0,83.0,11.0,70.0,29.0
France,68,2013,Maïs,2514,8221.0,5200.0,110.0,130.0,1485.0,714.0,582.0
France,68,2013,Pommes de Terre,2531,5930.0,399.0,350.0,1050.0,400.0,3458.0,273.0
France,68,2013,Riz (Eq Blanchi),2805,420.0,101.0,1.0,1.0,2.0,314.0,2.0
Géorgie,73,2013,Blé,2511,836.0,67.0,13.0,17.0,27.0,709.0,3.0
Géorgie,73,2013,Maïs,2514,381.0,174.0,5.0,17.0,64.0,118.0,2.0
Allemagne,79,2013,Blé,2511,16491.0,7494.0,571.0,663.0,90.0,6900.0,774.0
Allemagne,79,2013,Maïs,2514,7961.0,6136.0,63.0,122.0,626.0,1003.0,11.0
Allemagne,79,2013,Pommes de Terre,2531,8197.0,105.0,406.0,1230.0,234.0,5084.0,1138.0
Allemagne,79,2013,"Plantes Oleiferes, Autre",2570,188.0,26.0,0.0,2.0,148.0,9.0,3.0
Bosnie-Herzégovine,80,2013,Maïs,2514,1030.0,286.0,8.0,51.0,109.0,296.0,280.0
Bosnie-Herzégovine,80,2013,Graines Colza/Moutarde,2558,10.0,2.0,0.0,0.0,8.0,0.0,0.0
Grèce,84,2013,Blé,2511,2285.0,550.0,160.0,27.0,5.0,1380.0,163.0
Grèce,84,2013,Maïs,2514,2621.0,2233.0,11.0,159.0,39.0,21.0,156.0
