0,1,2,3
77.0,115.0,0.964005602039799,2.0
170.0,204.0,0.9908891426774219,4.0
162.0,184.0,1.0161567831241265,3.0
199.0,243.0,1.0712228295856032,5.0
90.0,147.0,1.0728244988021205,2.0
190.0,196.0,1.0847490736398493,5.0
138.0,208.0,1.0901021860828608,3.0
13.0,96.0,1.0935081431765377,2.0
198.0,203.0,1.0992192402838246,4.0
154.0,202.0,1.1126431687697995,3.0
54.0,76.0,1.1188459504138495,2.0
94.0,240.0,1.1194597254461573,5.0
221.0,245.0,1.1326253792357197,6.0
225.0,237.0,1.1489899396733125,6.0
207.0,222.0,1.150529403181751,4.0
74.0,214.0,1.1585729532461466,4.0
218.0,234.0,1.1722304955762335,6.0
161.0,242.0,1.1828685126445166,3.0
195.0,215.0,1.221904546219804,4.0
53.0,153.0,1.2382699122615326,2.0
164.0,185.0,1.2484249337672328,3.0
98.0,159.0,1.2512218410099596,2.0
8.0,258.0,1.2821286441539739,5.0
62.0,248.0,1.3110525095882941,3.0
92.0,111.0,1.3143039175773752,2.0
137.0,232.0,1.3679110399872436,3.0
213.0,252.0,1.3980979595958432,7.0
105.0,219.0,1.4227224344506149,3.0
43.0,52.0,1.508224925629662,2.0
19.0,124.0,1.5284253325280759,2.0
231.0,266.0,1.5505885360799718,8.0
216.0,249.0,1.5519545176865566,8.0
191.0,255.0,1.5636227430802012,7.0
130.0,157.0,1.6103700696995857,2.0
233.0,246.0,1.644500514912239,9.0
106.0,236.0,1.6692395416286538,3.0
229.0,239.0,1.707412330434542,5.0
209.0,253.0,1.7149722317971767,6.0
224.0,235.0,1.7270479350575574,6.0
69.0,279.0,1.7475362650550808,4.0
230.0,238.0,1.7595598506393628,5.0
210.0,250.0,1.7607843653929176,5.0
211.0,257.0,1.7686166293428143,8.0
33.0,259.0,1.8122517459015997,5.0
7.0,72.0,1.8125483006351277,2.0
263.0,265.0,1.874286261385223,4.0
227.0,273.0,1.9088543545109995,7.0
244.0,281.0,1.9383762126823685,8.0
228.0,275.0,1.9402601571316476,12.0
256.0,264.0,1.9431619214756097,9.0
247.0,284.0,1.958841979301465,10.0
160.0,163.0,2.0497614218858673,2.0
254.0,285.0,2.1340972476893065,7.0
70.0,169.0,2.176785222426214,2.0
127.0,283.0,2.279441097885817,5.0
128.0,276.0,2.303632403111992,8.0
261.0,282.0,2.326873071747188,9.0
269.0,291.0,2.340601745567009,11.0
129.0,277.0,2.358924453661576,3.0
262.0,290.0,2.3767905529119564,11.0
241.0,272.0,2.501087686902663,4.0
286.0,299.0,2.5804907091682,16.0
260.0,271.0,2.599835048829934,9.0
267.0,302.0,2.6040751098375154,6.0
294.0,297.0,2.610130571952094,12.0
270.0,293.0,2.6621241852023516,16.0
287.0,300.0,2.8702220876301445,14.0
289.0,295.0,2.977023165380897,6.0
280.0,309.0,3.0133804033280462,21.0
84.0,288.0,3.1143944247107673,3.0
278.0,296.0,3.3705225692001433,16.0
114.0,298.0,3.41788221744562,6.0
21.0,120.0,3.480077407860271,2.0
292.0,306.0,3.489849514495403,21.0
274.0,312.0,3.512882928840665,29.0
15.0,81.0,3.525221234326022,2.0
80.0,307.0,3.601309528998131,7.0
313.0,320.0,3.9835159313475237,10.0
251.0,319.0,3.991010549295006,4.0
87.0,308.0,4.080188904834945,13.0
303.0,311.0,4.486905986971569,17.0
301.0,318.0,4.853987354138803,40.0
31.0,304.0,4.875699116619088,5.0
314.0,317.0,5.279057156601343,37.0
305.0,310.0,5.285911847715039,30.0
171.0,316.0,5.368435655592424,3.0
75.0,125.0,5.5706639174780825,2.0
323.0,326.0,6.07302465581836,18.0
324.0,328.0,6.984276487655061,47.0
268.0,325.0,7.063585645636082,42.0
156.0,322.0,7.138218566942591,5.0
315.0,327.0,7.2010920924863555,43.0
329.0,331.0,7.8284940191298915,21.0
32.0,321.0,8.188646156345913,11.0
34.0,67.0,8.581818341058334,2.0
68.0,338.0,9.350254184002686,3.0
332.0,336.0,11.509189785929925,68.0
333.0,337.0,11.915715914827,53.0
335.0,341.0,14.985007750131414,96.0
334.0,340.0,18.51437711552943,73.0
339.0,342.0,21.69552695606172,99.0
330.0,343.0,23.1246804290046,75.0
344.0,345.0,29.528519768043047,174.0
